Vowel	Time	F1.mean	F2.mean	F3.mean	F1.sd	F2.sd	F3.sd	F1.var	F2.var	F3.var	F1.F2.covar	F1.F3.covar	F2.F3.covar
AE	t1	838.4175439	1796.058005	2639.321851	115.8824743	255.9527499	306.1168956	13428.74785	65511.81017	93707.55377	-2513.100517	8553.180774	47478.28618
AE	t2	848.8895493	1787.281286	2591.416192	103.5327935	188.9550179	261.4414885	10719.03933	35703.99878	68351.65193	2175.517243	11849.27389	25849.76914
AE	t3	847.4982192	1799.737664	2593.407779	103.6812699	194.9153155	229.2449193	10749.80572	37991.98021	52553.233	1302.285121	9026.372554	12931.09179
AH	t1	868.3850979	1373.790534	2744.160092	122.6314606	221.5836236	273.8279721	15038.47512	49099.30226	74981.7583	12726.54562	12016.08807	10752.04659
AH	t2	885.8620504	1360.730312	2755.395449	98.83422473	185.7522045	255.6774945	9768.203979	34503.88147	65370.98118	13279.29331	9451.781155	2944.361147
AH	t3	882.5509987	1364.590891	2775.186747	100.076363	196.6028774	232.4100586	10015.27843	38652.69139	54014.43535	13418.07611	9713.561941	5242.400565
EE	t1	359.1680371	2481.340463	3145.122604	109.9915931	311.4596645	315.9639238	12098.15056	97007.1226	99833.20114	-11049.07552	4910.053712	63191.40311
EE	t2	339.8635278	2493.4016	3160.195427	64.44690574	276.7619457	298.8226928	4153.403659	76597.17458	89295.00172	3177.68941	8112.425327	48298.51848
EE	t3	349.2382626	2508.742503	3169.702803	67.48117251	303.7757192	316.8325463	4553.708643	92279.68755	100382.8624	2429.297245	12279.28296	51141.69543
EH	t1	726.8607537	1845.338241	2739.756498	119.7509669	199.2435482	278.9932907	14340.29408	39697.99149	77837.25625	-2165.173518	14734.12546	29993.54615
EH	t2	738.8700707	1847.019819	2706.695312	122.8995451	160.1224149	236.0409518	15104.29819	25639.18774	55715.33091	-818.098441	11902.02186	15713.91523
EH	t3	745.8218569	1852.69646	2694.257619	125.4004245	177.5788651	232.3664126	15725.26647	31534.25333	53994.14972	1335.975705	13705.95971	17503.40871
IH	t1	532.8803116	2049.192309	2874.993986	108.6175633	268.4494548	261.1473923	11797.77506	72065.10978	68197.96051	-2518.439677	8827.659082	48219.96091
IH	t2	532.9310435	2083.617258	2865.221147	94.3072169	234.0248084	250.7458821	8893.851159	54767.61095	62873.49739	-2960.655473	6646.49423	40392.32678
IH	t3	542.9281541	2082.392801	2856.060969	100.3556429	248.4028626	225.3646446	10071.25507	61703.98217	50789.22303	-571.6941086	9577.943433	36502.4939
OO	t1	397.6288892	1080.29866	2754.60609	105.9798774	299.6035196	256.9764771	11231.73441	89762.26898	66036.90981	19464.2642	9660.577306	33154.55345
OO	t2	393.5596366	1058.927672	2744.403002	65.91898131	221.8290522	229.5999964	4345.312097	49208.12841	52716.15834	10262.3811	8001.51561	22684.77957
OO	t3	392.5392824	1049.483807	2743.513301	68.0866872	234.7685883	216.126395	4635.796974	55116.29003	46710.61861	11629.73117	8393.106945	23144.19976
UH	t1	719.1017634	1389.545941	2914.027415	103.0925573	179.2838399	256.5857244	10628.07537	32142.69524	65836.23397	12381.59854	17174.4423	25287.78702
UH	t2	733.5313584	1383.086217	2924.064742	96.38469406	150.6433946	242.8294914	9290.009249	22693.43233	58966.1619	10798.0886	15953.26899	20294.54912
UH	t3	745.3358122	1380.388388	2923.942828	99.70018733	158.5149303	235.2083976	9940.127354	25126.98314	55322.9903	12186.24446	17107.84553	20429.20356
