Speaker	Vowel	Time	F1.mean	F2.mean	F3.mean	F1.sd	F2.sd	F3.sd	F1.var	F2.var	F3.var	F1.F2.covar	F1.F3.covar	F2.F3.covar
1	AE	t1	842.3770629	1732.230271	2802.798566	51.08872048	242.2972195	337.8030117	2610.05736	58707.94256	114110.8747	3731.96007	4243.06589	72418.88567
1	AE	t2	855.7965558	1709.772429	2659.787156	36.51964907	242.0712669	346.4564087	1333.684768	58598.49827	120032.0431	-1855.076668	-2911.735333	72299.96862
1	AE	t3	850.0357762	1773.694268	2633.29168	37.67502484	144.6940522	231.9704363	1419.407497	20936.36873	53810.2833	1560.647846	-883.5239666	17654.30657
1	AH	t1	930.3155548	1535.273887	2833.908396	53.09108169	113.5398119	250.7250566	2818.662955	12891.2889	62863.05402	1428.280363	3997.323565	12687.29117
1	AH	t2	923.3068481	1543.724092	2744.685484	41.80703254	65.69495785	244.8119282	1747.82797	4315.827487	59932.88018	-127.6700088	769.1367726	9562.273153
1	AH	t3	922.2307812	1532.819598	2756.491862	33.70830869	102.2029026	206.0681275	1136.250075	10445.43331	42464.07316	-1784.770534	-84.55980109	3776.689827
1	EE	t1	338.0645319	2693.157674	3271.244111	31.12621784	105.5710683	119.1837947	968.8414372	11145.25046	14204.77692	786.3755296	1249.029164	7148.4372
1	EE	t2	353.5085757	2643.726722	3202.854778	28.93153945	142.2884184	83.34605142	837.0339751	20245.99401	6946.564287	-232.7005743	-299.3573263	6938.798279
1	EE	t3	358.8634148	2714.893567	3184.328606	22.77014536	95.62112208	142.519345	518.4795199	9143.398987	20311.76369	-139.724565	48.32755071	8700.7437
1	EH	t1	752.5734689	1760.771861	2834.525363	23.41037246	139.3288536	304.703998	548.0455386	19412.52944	92844.52641	26.66767587	623.9528314	33679.57612
1	EH	t2	758.0373815	1755.3766	2836.722166	35.06051915	150.5351782	245.8324971	1229.240003	22660.83988	60433.61664	-1535.001677	-2238.745578	32638.76576
1	EH	t3	769.60909	1820.956198	2843.599124	31.92236991	78.75186367	197.7283058	1019.037701	6201.856031	39096.48292	666.0818791	415.8606563	12855.22521
1	IH	t1	611.4088847	2068.74688	3071.738081	39.52156652	68.24928824	83.63014366	1561.95422	4657.965346	6994.000929	-647.415252	-1044.865004	2667.280202
1	IH	t2	621.0126839	2032.222167	3011.798228	31.87309613	79.49860905	140.1500491	1015.894257	6320.028841	19642.03627	-602.1657376	-367.3069552	5711.030524
1	IH	t3	617.7650345	2009.525406	2906.721671	32.35286314	55.86393927	108.7417182	1046.707753	3120.779711	11824.76128	-639.6682697	-416.3373928	3461.579226
1	OO	t1	375.1142069	1041.49195	3125.057323	16.84132221	79.10403881	113.4014602	283.6301337	6257.448956	12859.89117	-490.8142014	274.8826635	794.122259
1	OO	t2	413.5107638	1121.590004	3059.476084	26.42243847	98.98299932	154.2748437	698.1452547	9797.634154	23800.72739	1117.045814	-34.80175895	4472.446421
1	OO	t3	412.9323633	1091.565116	2990.551244	20.63065485	111.0975877	112.6163101	425.6239194	12342.67399	12682.4333	625.1433316	-724.5501984	-2359.465904
1	UH	t1	767.1771656	1454.977867	3069.642346	34.7131735	52.70583338	122.0564547	1205.004414	2777.904873	14897.77813	1360.49604	218.3349296	1964.099174
1	UH	t2	759.526128	1452.615457	2997.867069	42.33718777	52.84351524	148.161351	1792.437468	2792.437103	21951.78593	166.2632977	-1231.909503	5263.103358
1	UH	t3	761.3947162	1432.870916	2926.942491	36.11487709	51.37551426	106.9404291	1304.284347	2639.443465	11436.25537	773.4839779	-723.6057697	1967.157351
2	AE	t1	916.1661845	1947.833245	2759.832044	32.15033458	172.437761	214.3831826	1033.644014	29734.78143	45960.14897	-679.0135149	-573.0330299	29769.4295
2	AE	t2	909.9328595	1800.079511	2603.510105	52.22997229	171.7048959	145.058485	2727.970005	29482.57128	21041.96408	-2808.910774	736.1942964	12072.96133
2	AE	t3	908.7800277	1848.846232	2667.94867	33.24327263	160.2434412	191.193184	1105.115175	25677.96045	36554.8336	-943.4586362	301.2594825	16952.20363
2	AH	t1	1047.625673	1779.060652	2854.326737	47.80457896	55.20608864	173.826866	2285.277769	3047.712223	30215.77935	950.1005514	3432.025171	3282.280077
2	AH	t2	1031.717156	1717.830516	2760.59424	51.21172322	79.89354168	219.2271259	2622.640595	6382.978003	48060.53275	2283.348189	3307.005524	8023.76463
2	AH	t3	1032.310365	1754.012841	2845.368293	39.59363715	60.55199092	205.1228798	1567.656102	3666.543604	42075.39581	-198.2710573	396.3927654	8033.938268
2	EE	t1	445.9440413	2427.638056	3398.686394	16.91722097	350.2717272	123.3188232	286.1923655	122690.2829	15207.53217	-418.468559	-336.7532732	31847.23026
2	EE	t2	448.9314523	2324.486782	3302.669792	29.53860103	359.2214901	138.8276166	872.5289506	129040.079	19273.10713	4960.05411	486.8411456	30353.29347
2	EE	t3	449.4264212	2277.689936	3375.994469	21.25023489	513.9288039	144.6335338	451.5724831	264122.8155	20918.85911	-804.2329284	-368.2070096	63731.41397
2	EH	t1	864.8952788	1901.022975	2810.239549	47.08212928	175.3578351	279.2943592	2216.726898	30750.37032	78005.3391	1568.196376	4202.905463	37095.95821
2	EH	t2	865.7690456	1761.334171	2585.516724	52.32563468	183.0453295	213.0093	2737.972045	33505.59265	45372.96189	-47.87827706	1700.496672	18085.65455
2	EH	t3	880.4737046	1853.224927	2809.649885	46.63559972	174.279461	236.5088108	2174.879161	30373.33054	55936.41759	4401.686758	3292.066324	27917.70982
2	IH	t1	673.7432667	2131.082079	2962.222987	46.76738254	198.0572616	226.2323105	2187.188069	39226.67885	51181.0583	3422.994528	3823.827475	38770.70023
2	IH	t2	663.7616023	2031.240197	2843.105323	53.87307591	237.6836985	218.8275967	2902.308308	56493.54053	47885.51709	925.6432819	701.0283555	37371.14912
2	IH	t3	701.7800598	2125.587449	2995.741655	44.69270391	169.0586217	170.2828565	1997.437783	28580.81756	28996.25123	1534.190017	967.6298853	24326.47256
2	OO	t1	443.3352042	1279.976141	2858.596985	18.5353327	107.2362836	140.3878329	343.5585584	11499.62051	19708.74364	895.7702379	759.8847941	-749.2443847
2	OO	t2	454.4883398	1318.868613	2931.944247	15.04038518	135.9041732	111.6963134	226.2131864	18469.94431	12476.06642	897.3238751	32.81845872	-4173.193144
2	OO	t3	451.6266606	1342.370767	2866.413646	12.55992653	108.2436213	188.2413345	157.7517544	11716.68155	35434.80001	212.3008561	1255.564902	-5607.228305
2	UH	t1	834.4927205	1720.065732	3089.271487	35.77827553	48.69394336	98.25100236	1280.085	2371.10012	9653.259464	91.92785596	1228.622916	329.1712916
2	UH	t2	860.004981	1700.364326	3004.815533	45.55422487	62.78762407	178.7833808	2075.187403	3942.285736	31963.49725	1459.210085	5563.339587	7897.317797
2	UH	t3	880.6980792	1724.77612	3031.659245	40.86926193	55.14962609	136.0372686	1670.29657	3041.481257	18506.13845	805.1108292	961.3394023	643.3910995
3	AE	t1	813.4301289	1837.724607	2921.91648	207.2718914	401.2436184	164.1561368	42961.63698	160996.4413	26947.23723	-67233.38483	-28763.52219	47160.51248
3	AE	t2	948.9283774	1808.520046	2871.388146	36.69254065	55.84732901	102.7864485	1346.34254	3118.924157	10565.054	304.6984473	-1438.170185	1815.877614
3	AE	t3	945.7923561	1798.101411	2832.706152	26.00611608	75.10345823	120.7576838	676.3180737	5640.529439	14582.4182	-435.4975251	158.253027	1587.86506
3	AH	t1	818.0482716	1411.857124	2824.109863	233.5177209	262.3557761	130.5631771	54530.52597	68830.55325	17046.74321	-7709.645554	12162.83747	14620.08424
3	AH	t2	990.6673283	1400.544594	2975.615762	21.26254067	74.10594423	119.2510163	452.0956357	5491.69097	14220.80488	132.4731658	615.1546964	1597.657908
3	AH	t3	984.5925909	1396.962945	2940.149906	27.8675212	88.9272901	98.33586516	776.5987376	7908.062924	9669.942377	-1187.498947	319.8252999	-2720.115864
3	EE	t1	489.1605251	2421.403809	3161.686642	211.6101653	547.8299987	203.5560045	44778.86207	300117.7075	41435.04698	-93439.36667	-26328.17364	97323.73148
3	EE	t2	370.9521282	2801.341504	3289.24379	14.45098863	55.58671225	85.99616137	208.8310725	3089.882579	7395.339771	323.9006674	-107.4477482	2250.438267
3	EE	t3	389.557178	2667.912326	3194.716615	17.41581644	178.946065	132.0969998	303.3106622	32021.6942	17449.61735	-853.642027	-975.4799119	13288.08199
3	EH	t1	814.8425038	1870.464863	2946.66634	176.1106002	295.402226	107.9394632	31014.94351	87262.47511	11650.92772	-38367.57512	-10776.81134	14794.19323
3	EH	t2	918.9459034	1883.144479	2955.189263	36.02738329	52.09551309	98.83365737	1297.972347	2713.942485	9768.091828	185.1236135	-1118.626513	-282.5910245
3	EH	t3	921.4381937	1853.02117	2856.637485	30.40539319	49.08520272	127.5088483	924.4879353	2409.357126	16258.50639	-484.4118545	-71.98311178	3170.676623
3	IH	t1	613.0413611	1977.906071	2960.000906	141.3704501	388.0596998	178.5957173	19985.60415	150590.3306	31896.43026	-1683.397175	4099.151689	57886.31213
3	IH	t2	611.6931908	2223.005611	3073.713294	29.7156493	56.83060731	93.58453348	883.0198131	3229.717927	8758.064906	-74.73367904	-386.3092855	2923.782247
3	IH	t3	624.5828488	2187.99559	3012.337269	28.41502693	74.97861078	110.267951	807.4137553	5621.792075	12159.02102	-441.5518554	740.1368424	3718.768785
3	OO	t1	472.4763352	1334.774216	2806.05682	213.5513151	569.7441284	226.1119966	45604.16416	324608.3719	51126.635	40163.05623	18957.70855	113894.2268
3	OO	t2	374.5622989	1001.276812	2691.630911	19.1937961	95.84468191	89.0620303	368.4018088	9186.203051	7932.045242	531.19665	201.1172962	-603.6017776
3	OO	t3	389.8175312	1031.184791	2707.099521	23.45440449	63.42652413	76.63804461	550.1090901	4022.923963	5873.389882	480.7244257	-2.606418015	-480.8286688
3	UH	t1	794.7398952	1430.927571	2984.308824	137.1686869	224.8891337	161.3376824	18815.24867	50575.12247	26029.84777	5537.980915	13416.01018	5375.576273
3	UH	t2	853.4316344	1406.060161	3148.175837	51.95293043	50.87072885	83.52947382	2699.10698	2587.831053	6977.172997	-767.616427	-542.9651658	-130.206355
3	UH	t3	864.1222379	1382.29266	3131.948191	34.25155143	37.29120358	61.80795002	1173.168775	1390.633864	3820.222685	267.459309	689.9729263	-99.62387765
4	AE	t1	921.4108871	1783.022741	2684.319804	45.73345192	189.4729201	234.4879443	2091.548624	35899.98744	54984.59602	1934.443191	1715.170658	23874.82745
4	AE	t2	895.8191277	1780.689551	2596.151432	43.50656987	162.5579305	307.8159363	1892.821622	26425.08075	94750.65066	-340.2911537	3254.317423	36411.92813
4	AE	t3	908.0149193	1708.631175	2579.630426	40.15136158	254.1157954	269.3373179	1612.131837	64574.83747	72542.59079	2691.169933	-1865.163329	18664.24722
4	AH	t1	845.5058764	1178.176553	3114.290611	35.37957623	39.77951096	81.8425934	1251.714414	1582.409492	6698.210095	880.2546895	510.3234445	475.3292565
4	AH	t2	845.0449159	1183.924525	3123.913297	36.83789803	40.52504619	91.62213633	1357.030731	1642.279369	8394.615865	654.6451321	2148.396555	1006.027819
4	AH	t3	858.3901279	1203.196056	3098.76903	31.96446002	46.11250069	67.99676145	1021.726704	2126.36272	4623.559568	822.4163839	81.92628834	-658.411791
4	EE	t1	398.6693657	2561.185455	3145.182432	17.91867068	260.209749	84.55816407	321.0787591	67709.11346	7150.083112	733.9429956	-73.75774143	17388.30658
4	EE	t2	387.671538	2429.982845	3099.629347	17.17101819	375.9683762	112.6219325	294.8438656	141352.2199	12683.69968	3187.976936	618.1872968	26154.61923
4	EE	t3	402.6136386	2491.397312	3174.526423	14.14281162	339.1195996	104.107124	200.0191205	115002.1028	10838.29327	861.3505618	63.60605956	28226.68769
4	EH	t1	771.0218914	1754.359309	2728.835269	27.56906048	199.0183852	260.8019406	760.0530959	39608.31765	68017.65224	1345.001422	174.3220486	43093.02594
4	EH	t2	756.6577817	1848.109193	2686.176923	31.23226546	184.437517	302.5680781	975.454406	34017.19767	91547.44191	1397.555539	4775.338158	35437.11582
4	EH	t3	765.9204707	1699.088244	2499.401878	39.48565209	305.1808886	236.882563	1559.116721	93135.37478	56113.34865	8151.806652	5781.979388	47385.71488
4	IH	t1	546.2199796	1798.490363	2703.799956	43.58462366	280.1769491	226.6917983	1899.619419	78499.12282	51389.1714	7403.903315	3207.516369	51071.97739
4	IH	t2	535.1220385	1900.313851	2641.63928	30.8752497	271.8717104	192.1005772	953.2810441	73914.22692	36902.63175	-2539.057059	2474.062414	16579.21749
4	IH	t3	542.0698322	1823.663902	2646.986568	25.83751046	367.2531455	161.6838298	667.5769465	134874.8729	26141.66082	-746.3610201	510.1049794	22297.5671
4	OO	t1	422.5408514	1214.544081	2876.211774	18.01503052	55.46352806	90.913183	324.5413245	3076.202944	8265.206843	68.08874391	-294.278153	-681.9316406
4	OO	t2	430.8199555	1240.965898	2857.870862	16.97149036	88.73429762	65.64181706	288.0314849	7873.775573	4308.848147	850.6440233	-206.7412251	-1524.394403
4	OO	t3	417.5207028	1223.085628	2892.903963	17.17500703	55.88902869	61.92820032	294.9808665	3123.583528	3835.101995	382.2281642	-162.7226322	982.5418548
4	UH	t1	753.8323982	1333.518371	3090.285616	27.25248342	36.75154272	65.70371077	742.6978527	1350.675892	4316.977609	530.1174316	397.6661773	626.9076901
4	UH	t2	755.8948371	1352.206812	3084.716092	25.73082455	36.32846838	111.0088695	662.0753321	1319.757615	12322.96911	443.0180466	642.6880385	1636.111471
4	UH	t3	766.926779	1369.427422	3076.714911	25.37945244	34.53510014	61.55668281	644.1166061	1192.673142	3789.225199	342.7130461	389.9953236	-704.339705
5	AE	t1	727.0078143	2002.034314	2512.472941	31.66198564	70.15268645	36.15514088	1002.481335	4921.399416	1307.194212	-1153.053558	-452.7617688	1973.812957
5	AE	t2	717.93416	2038.53452	2527.303694	26.54969058	53.53645258	53.93060913	704.8860701	2866.151755	2908.510601	-583.3967497	-182.6110795	1527.216395
5	AE	t3	712.5197602	2093.514905	2493.582881	27.632532	47.15102085	90.81485704	763.5568247	2223.218767	8247.338259	-601.9120016	-203.2736938	1273.571745
5	AH	t1	825.597261	1306.913243	2636.027834	37.24546119	149.4098755	77.08145247	1387.22438	22323.3109	5941.550315	-3114.336194	1462.579123	-9949.080797
5	AH	t2	844.8728707	1284.444928	2699.482901	20.51572873	69.5230915	47.18393081	420.8951254	4833.460252	2226.323326	1136.328372	-432.6602512	-2532.102099
5	AH	t3	844.7471944	1267.381471	2703.131886	27.04503028	71.81836198	42.31724431	731.4336631	5157.877117	1790.749166	1448.765143	-94.66981459	-1258.913296
5	EE	t1	277.9901471	2391.867371	2950.044202	88.10073116	152.937714	186.0530473	7761.73883	23389.94437	34615.73641	-13154.92349	-11581.41846	19088.53227
5	EE	t2	251.0041266	2450.270813	3015.927133	11.32771896	49.84797389	92.78425542	128.3172169	2484.820501	8608.918053	-189.4480072	-397.250468	-981.4144665
5	EE	t3	256.1556338	2475.396436	3052.466683	12.30742698	52.28325705	107.5352149	151.4727588	2733.538968	11563.82245	-451.0984472	-593.9768099	2266.207181
5	EH	t1	578.7759979	1976.732725	2503.768599	32.55991011	77.86355976	66.96823414	1060.147746	6062.733938	4484.744384	-1377.283907	-405.0975431	2415.822892
5	EH	t2	577.8678355	2014.591822	2568.994993	23.09784328	83.99667009	62.97930281	533.510364	7055.440586	3966.392583	-1190.071312	-185.7578646	3428.008802
5	EH	t3	579.3184524	2036.296767	2534.042081	20.13124952	83.17885375	74.15946674	405.2672073	6918.721712	5499.626507	-602.9157519	289.6996806	2356.498146
5	IH	t1	383.0550423	2279.761663	2743.219106	20.14509068	63.6940777	68.1010987	405.8246787	4056.935534	4637.759644	-604.2648568	-698.0114273	3807.891226
5	IH	t2	384.6923384	2291.844933	2791.101199	11.51554959	64.59404515	65.37188778	132.6078824	4172.390669	4273.483713	-102.8839046	-136.6250862	3343.31394
5	IH	t3	387.4279488	2332.047792	2793.329267	20.26667534	94.06704982	88.4329641	410.7381295	8848.609861	7820.38914	-1539.624819	-1455.955479	7840.658996
5	OO	t1	295.3957938	789.5110654	2435.415388	24.34379076	60.81234155	76.56170715	592.6201488	3698.140885	5861.695002	912.6009631	942.7146598	1856.594881
5	OO	t2	320.1738019	969.5683308	2567.773048	40.23272934	292.9900083	169.8112478	1618.67251	85843.14498	28835.85987	10401.9744	5230.748056	43116.18159
5	OO	t3	321.7027967	942.4602872	2572.125885	73.57849798	375.5014063	205.0403292	5413.795365	141001.3062	42041.53658	26995.38244	14289.72047	74510.61969
5	UH	t1	614.0211983	1227.179446	2565.293256	71.48091727	56.13594511	75.91108472	5109.521534	3151.244334	5762.492783	2917.686831	2211.492048	1194.058444
5	UH	t2	646.1109778	1243.659172	2654.04928	26.14755829	43.74168594	39.94395432	683.6948043	1913.335089	1595.519487	108.2723475	647.4252682	83.86099599
5	UH	t3	653.4351928	1227.11057	2630.70763	40.68883984	52.96695522	19.43493612	1655.581688	2805.498345	377.716742	884.0370796	156.8265119	302.9076371
6	AE	t1	777.1944585	1696.562021	2406.717157	43.5801922	76.26114461	158.38637	1899.233152	5815.762177	25086.24219	394.7515634	-4021.090531	547.1215374
6	AE	t2	785.5472308	1656.849933	2444.692943	51.09256165	99.4014101	172.3342212	2610.449856	9880.640329	29699.0838	-2893.616267	-3320.604597	122.104719
6	AE	t3	778.8246718	1683.186118	2563.250117	56.33413496	78.71955149	126.8908875	3173.534762	6196.767786	16101.29732	-2016.536272	-1879.802962	499.217974
6	AH	t1	846.4308569	1262.590183	2578.909544	30.95953161	61.28403114	171.1759711	958.4925973	3755.732472	29301.21308	790.5656121	-965.622431	-5404.70733
6	AH	t2	844.4852384	1230.199838	2585.529941	29.96755156	25.33607673	147.4647762	898.0541464	641.9167839	21745.86022	-34.41231496	-39.19967629	1476.842234
6	AH	t3	844.7680951	1265.546754	2582.191772	43.67825061	143.0147479	163.6551746	1907.789576	20453.21812	26783.01617	884.5384212	-1951.703309	-669.7750739
6	EE	t1	297.7332683	2354.137599	2849.55015	23.77879648	64.44753399	143.2012312	565.4311618	4153.484638	20506.59262	-202.1514102	-183.507755	5373.729487
6	EE	t2	280.2259335	2327.082321	2861.863581	14.67937152	89.09975705	174.9971788	215.4839481	7938.766707	30624.01259	87.14470228	-304.1754779	13125.48339
6	EE	t3	271.0675286	2395.411381	2796.402012	14.35420025	42.7642145	126.6008555	206.0430648	1828.778041	16027.77662	-186.1074032	-335.2629732	1385.550005
6	EH	t1	629.0453395	1779.323461	2609.604113	25.33952122	54.66835647	101.5271506	642.0913357	2988.629199	10307.7623	-77.44821345	573.6111898	-772.7980931
6	EH	t2	633.0433604	1815.771617	2598.199811	22.67418141	41.02098325	102.9762922	514.1185027	1682.721067	10604.11675	-236.732376	-423.6668741	1691.203709
6	EH	t3	638.7891429	1833.525403	2643.196291	19.86257576	41.23977842	49.49175655	394.5219157	1700.719324	2449.433966	175.9655815	296.6427182	445.6252893
6	IH	t1	467.1539915	1918.911746	2664.350592	29.68647236	59.73379527	63.08181033	881.286641	3568.126297	3979.314795	-234.9099558	-119.9183246	547.4321502
6	IH	t2	477.4287395	1924.145435	2636.969393	15.40982852	44.5295351	66.50750577	237.4628151	1982.879496	4423.248323	40.35027696	123.6506552	-21.15549127
6	IH	t3	471.0238434	1968.648709	2697.01227	20.41638916	60.68445718	59.9903018	416.8289463	3682.603343	3598.83631	-136.0698024	-381.2094105	598.3665805
6	OO	t1	338.1626617	944.1702848	2426.051901	21.00496385	79.13292419	84.77803909	441.2085062	6262.019691	7187.315913	1312.934383	-136.5286068	-2569.071937
6	OO	t2	329.9398349	919.4254196	2387.841186	18.33700224	75.9543074	52.72175838	336.2456511	5769.056812	2779.583807	1175.782319	197.7924742	525.3846119
6	OO	t3	319.0209896	875.8221375	2440.515201	12.47516579	49.38576959	48.76106825	155.6297614	2438.954238	2377.641777	338.5798023	40.091471	642.4755009
