Speaker	Vowel	F1.mean	F2.mean	F3.mean	F1.sd	F2.sd	F3.sd	F1.var	F2.var	F3.var	F1.F2.covar	F1.F3.covar	F2.F3.covar
1	AE	849.4031316	1738.565656	2698.625801	42.16748198	213.9026784	315.32953	1778.096536	45754.35583	99432.7125	1080.538091	-198.4350035	52288.96872
1	AH	925.2843947	1537.272526	2778.361914	43.25725548	95.03915904	235.4406482	1871.190152	9032.441751	55432.29885	-160.8666509	1664.723538	8402.634283
1	EE	350.1455075	2683.925988	3219.475832	28.91369495	118.7628427	122.1610786	836.0017554	14104.61281	14923.32912	142.7204072	-7.748282418	7444.72518
1	EH	760.0733135	1779.034886	2838.282217	31.0188572	128.9325669	250.3976314	962.1695017	16623.60681	62698.97382	-77.28818205	-363.0050123	25908.82907
1	IH	616.7288677	2036.831484	2996.75266	34.59946401	72.08205767	131.286033	1197.12291	5195.823037	17236.02245	-689.0234056	-739.9937804	5469.930278
1	OO	400.5191113	1084.882357	3058.36155	28.0174526	101.7697389	138.3036345	784.9776499	10357.07976	19127.89531	968.0357428	-1007.860731	-167.1928326
1	UH	762.6993366	1446.821413	2998.150636	37.58207914	52.67296064	138.4399887	1412.412673	2774.440783	19165.63047	761.766113	-426.5215493	3526.768342
2	AE	911.6263572	1865.58633	2677.09694	39.95538711	177.4362351	194.6897784	1596.432959	31483.61753	37904.1098	-1264.617939	328.7195296	23127.99916
2	AH	1037.217731	1750.301336	2820.096423	46.52793945	70.04626183	202.5324576	2164.84915	4906.478796	41019.3964	1143.9522	2513.636304	7316.507424
2	EE	448.1006383	2343.271591	3359.116885	22.95855721	414.7950331	140.5323605	527.0953491	172054.9195	19749.34435	1121.89079	-108.102812	42143.60696
2	EH	870.379343	1838.527358	2735.135386	48.73161343	185.0194273	264.0967335	2374.770148	34232.18849	69747.08465	1984.085674	3343.496496	32921.7133
2	IH	679.7616429	2095.969908	2933.689988	50.70647805	206.4610864	214.6312663	2571.146917	42626.18019	46066.58046	2414.570118	2680.893816	35670.52936
2	OO	449.8167349	1313.738507	2885.651626	16.11457585	119.3842721	152.0762855	259.6795548	14252.60443	23127.19661	752.7533835	787.6818721	-3228.737895
2	UH	858.3985936	1715.068726	3041.915422	44.70648968	56.22525269	144.3812678	1998.670219	3161.279041	20845.9505	792.5050396	2047.572868	3120.278735
3	AE	902.7169541	1814.782021	2875.336926	136.7125387	235.7926025	135.365734	18690.31822	55598.15138	18323.88194	-22980.36425	-11871.82529	17084.24829
3	AH	931.1027303	1403.121554	2913.291844	156.9630997	163.8135858	132.5615727	24637.41465	26834.89088	17572.57057	-3351.582994	9401.992311	4025.607432
3	EE	416.5566104	2630.219213	3215.215683	132.2170971	366.4416459	156.6894889	17481.36076	134279.4799	24551.59594	-38703.12011	-11193.15712	44552.71367
3	EH	885.0755336	1868.876838	2919.497696	115.4351033	173.9466583	119.5286216	13325.26308	30257.43995	14287.09138	-12668.36081	-4905.681254	6283.799711
3	IH	616.4391336	2129.635757	3015.35049	84.24261124	252.5862697	139.2579917	7096.817548	63799.82366	19392.78824	-532.1390259	1412.725806	25634.68027
3	OO	412.2853884	1122.41194	2734.929084	130.4995227	364.7305134	154.1297123	17030.12541	133028.3474	23755.9682	19956.41608	8446.360474	44473.5031
3	UH	837.4312558	1406.426797	3088.144284	91.28713778	134.8132459	132.2714791	8333.341524	18174.61126	17495.74419	1069.852183	6631.513916	455.3908194
4	AE	908.414978	1757.447823	2620.033887	43.97775674	206.2892277	273.0625726	1934.043088	42555.24548	74563.16856	1416.278905	1399.983636	26757.53993
4	AH	849.6469734	1188.432378	3112.324313	34.9521012	43.12049517	80.8266753	1221.649378	1859.377103	6532.95144	832.9334436	832.3482045	176.2855572
4	EE	396.3181808	2494.188538	3139.779401	17.50122607	329.3917124	104.663584	306.2929139	108498.9002	10954.46582	1792.901774	393.162764	24343.87237
4	EH	764.5333813	1767.185582	2638.138023	33.30580101	241.1717081	283.4006607	1109.276381	58163.7928	80315.9345	3275.128888	3502.797873	45131.59455
4	IH	541.1372834	1840.822705	2664.141935	34.1806903	309.0421574	195.1597875	1168.319589	95507.05505	38087.34265	1143.433056	2125.693732	28391.22803
4	OO	423.6271699	1226.198536	2875.6622	18.0589585	68.61724525	74.52387568	326.125982	4708.326345	5553.808047	470.3876486	-295.1021884	-507.5728723
4	UH	758.8846714	1351.717535	3083.90554	26.47704241	38.42148937	81.78060612	701.0337749	1476.210845	6688.067537	507.2683202	434.8941934	425.9537471
5	AE	719.1539115	2044.69458	2511.119838	29.00451516	68.4950904	65.21933933	841.2618997	4691.577409	4253.562223	-981.5171322	-237.122014	1214.113664
5	AH	838.4057754	1286.246547	2679.547541	30.17363433	103.8966794	64.84451642	910.4482088	10794.51998	4204.811309	-305.9304036	586.509766	-4942.361111
5	EE	261.7166358	2439.178207	3006.146006	52.52282846	102.7615571	140.2456301	2758.64751	10559.93762	19668.83675	-4862.620336	-4526.595736	8135.254551
5	EH	578.6540953	2009.207105	2535.601891	25.52836432	84.50735636	72.55365032	651.697385	7141.493279	5264.032175	-1029.704683	-108.6369727	3066.845941
5	IH	385.0584432	2301.218129	2775.883191	17.6796767	77.90957676	77.40918674	312.5709682	6069.902151	5992.182191	-691.8244696	-712.2581389	5254.451615
5	OO	312.4241308	900.5132278	2525.104774	51.29897077	285.4372648	170.5149579	2631.584403	81474.43216	29075.35088	13431.74444	7441.111162	43946.69377
5	UH	637.8557896	1232.649729	2616.683389	52.18632921	51.24151655	62.83125159	2723.412957	2625.693019	3947.766177	1319.53929	1573.157401	722.3415307
6	AE	780.5221204	1678.866024	2471.553406	50.16708121	86.07532188	166.1093922	2516.736038	7408.961037	27592.33018	-1530.923707	-3029.996277	326.849956
6	AH	845.2280635	1252.778925	2582.210419	35.03321946	91.41508961	159.2725759	1227.326466	8356.718609	25367.75343	542.2592448	-965.5287937	-1534.368908
6	EE	283.0089101	2358.8771	2835.938581	21.10334	73.03636064	150.6617871	445.3509591	5334.309976	22698.9741	-238.8703635	-65.77094133	5692.82213
6	EH	633.5679342	1809.270663	2616.705732	22.86053063	50.93698175	89.64364104	522.6038607	2594.576109	8035.982378	39.19541675	203.6388032	687.6752586
6	IH	471.8688581	1937.235297	2666.110752	22.77083257	59.26437134	67.22904059	518.5108158	3512.265711	4519.743899	-112.0915539	-183.6169633	833.1188782
6	OO	329.0411621	913.1392806	2418.136096	19.13636175	74.31190943	67.24345171	366.2003409	5522.259883	4521.681798	1144.609878	-27.40006474	-719.4713403
6	UH	638.9348037	1230.247227	2661.512751	43.68436529	41.53183727	66.64485851	1908.323771	1724.893507	4441.537166	-222.4809867	1190.943744	-548.6842876
7	AE	968.6496662	1911.863408	2691.119762	34.08606132	100.2041016	259.0691088	1161.859576	10040.86199	67116.80312	827.6534765	447.0460855	16733.59514
7	AH	877.9622513	1265.223282	2771.168404	59.07213472	94.17036923	150.4348496	3489.517101	8868.058441	22630.64398	4349.453485	-2328.861926	-2270.190557
7	EE	351.2997709	2772.255505	3706.260015	29.32635418	138.9075617	188.0023938	860.0350497	19295.31069	35344.90006	1337.931942	693.0610833	7660.746963
7	EH	799.618049	2009.457555	2885.293964	50.02698868	135.908468	270.6880633	2502.699596	18471.11168	73272.02762	-1652.35535	-1836.49822	19365.95043
7	IH	509.0513753	2384.416283	3228.458458	38.99158101	83.59450443	170.1096582	1520.343389	6988.04117	28937.2958	-930.4118411	-981.877118	5774.779888
7	OO	363.9350367	766.967857	2823.649136	22.59178317	79.5685717	137.3219747	510.388667	6331.157602	18857.32473	402.2865527	-392.1619187	-140.1606999
7	UH	732.3217265	1406.956307	3207.76813	65.98608765	78.58283849	122.9738398	4354.163764	6175.262505	15122.56529	3398.614667	3417.168793	4289.726588
8	AE	718.9937137	1543.066038	2319.502298	41.10107178	108.4314932	214.6416984	1689.298102	11757.38871	46071.05869	194.3155078	1547.702697	14819.69741
